Radius1 | Radius2 | SB |   SBError | BGRD |      BGRDError | BinNo
                   0.0 |                 5.412 |         4.74652726357e-06 | 2.80537458939e-08 |            6.36187122649e-09 | 1.02705880664e-09 |          0
                 5.412 |                 8.364 |         1.56629572766e-06 | 9.07309811993e-09 |            2.81838052014e-09 |  3.8487396735e-10 |          1
                 8.364 |                10.824 |         1.37805868833e-06 | 7.88384964627e-09 |            2.91616839024e-09 | 3.62669299454e-10 |          2
                10.824 |                12.792 |         1.25060717711e-06 | 7.71839012808e-09 |             2.8309519488e-09 | 3.67225238836e-10 |          3
                12.792 |                 14.76 |          1.1618679977e-06 | 6.83700265335e-09 |            2.69574547203e-09 | 3.29326598915e-10 |          4
                 14.76 |                16.728 |         1.03228398082e-06 | 6.00882622548e-09 |            2.67959658744e-09 | 3.06143286016e-10 |          5
                16.728 |                18.696 |         9.41899459351e-07 | 5.41818295003e-09 |            2.75807044803e-09 | 2.93193328659e-10 |          6
                18.696 |                20.664 |         9.28989860362e-07 | 5.14996033207e-09 |            2.71939754441e-09 | 2.78634404131e-10 |          7
                20.664 |                 22.14 |          9.2274294334e-07 | 5.69137514293e-09 |            2.62739352514e-09 | 3.03696226285e-10 |          8
                 22.14 |                23.616 |         9.03254396894e-07 | 5.57562965169e-09 |            2.74860316172e-09 | 3.07570667901e-10 |          9
                23.616 |                25.092 |         8.78738310034e-07 | 5.27080991935e-09 |             2.7551029654e-09 | 2.95132123566e-10 |         10
                25.092 |                26.568 |         8.44592345435e-07 | 5.13916482561e-09 |            2.81303543771e-09 | 2.96590053535e-10 |         11
                26.568 |                28.044 |           8.028981698e-07 | 4.90600852669e-09 |            2.71849685392e-09 | 2.85471308529e-10 |         12
                28.044 |                 29.52 |         7.49535121535e-07 | 4.67767190934e-09 |            2.63231787634e-09 | 2.77206190628e-10 |         13
                 29.52 |                30.996 |          7.1306014433e-07 | 4.43268846872e-09 |            2.63879334124e-09 | 2.69653980172e-10 |         14
                30.996 |                32.964 |         6.64662193959e-07 | 3.68320467837e-09 |            2.71585798572e-09 |  2.3543925765e-10 |         15
                32.964 |                34.932 |         5.99985269566e-07 | 3.39329100487e-09 |            2.59851460838e-09 | 2.23312690564e-10 |         16
                34.932 |                  36.9 |         5.33745183717e-07 | 3.14148708432e-09 |            2.68629684017e-09 | 2.22866760006e-10 |         17
                  36.9 |                38.868 |         4.78619516469e-07 | 2.90480738179e-09 |            2.74109576314e-09 | 2.19828619611e-10 |         18
                38.868 |                40.836 |         4.18029810467e-07 | 2.63985438902e-09 |            2.67086595238e-09 | 2.11009692108e-10 |         19
                40.836 |                43.296 |          3.8002286548e-07 | 2.16834947339e-09 |              2.774675253e-09 | 1.85280833525e-10 |         20
                43.296 |                45.756 |         3.29429440567e-07 | 1.95192767311e-09 |            2.65123548384e-09 | 1.75108277395e-10 |         21
                45.756 |                48.216 |         2.95734423254e-07 |  1.7819772965e-09 |            2.71389271036e-09 | 1.70705522627e-10 |         22
                48.216 |                50.676 |         2.51232099253e-07 | 1.57808285803e-09 |            2.58812209525e-09 | 1.60171268576e-10 |         23
                50.676 |                53.628 |         2.23457973647e-07 | 1.30605200287e-09 |            2.66991149192e-09 | 1.42761452315e-10 |         24
